Date range: 01/24/2025 - 03/27/2025,Diag version: v4.0.11.6-RC03,Cycle count 1,,Cycle count 2,,Cycle count 3,,Cycle count 4,,Cycle count 5,
Symptom label,Symptom message,Category,Debug/Repair suggestions,Category,Debug/Repair suggestions,Category,Debug/Repair suggestions,Category,Debug/Repair suggestions,Category,Debug/Repair suggestions
Diorite SSH Connection Failed,"Create Diorite SSH Connection failed.
Can not connect to Diorite IP: 'fd00::4001:A9FF:FEFE:A9FB'",Retest,1. Retest on a different slot,Repair 2,"1. Verify NIC card power cable seating, reseat if not proper seated.
2. Visual inspection on NIC card
2.1 If no physical damage found, reseat NIC card
2.2 If physical damage found, replace NIC card",Repair 2,"1. Replace NIC card if it was not replaced already on cycle count 2, if it was replaced then replace PCIe cable.",Debug 1,"1. Verify correct MAC address is bound in SFC
2. If MAC address is correct, replace PCIe cable if not replaced on cycle count 3
3. Verify NIC card power cable",Debug 2,1. Confirm if motherboard replacement is needed
Checking BMC boot readiness and get BMC IP Failed,"Failed to get IP address via telnet
Response from command 'ip addr | grep global | grep eth1':
ip addr | grep global | grep eth1
root@roux:~# ",Retest,1. Retest on a different slot,Repair 1,"1. Quick visual inspection on agora
1.1 If physical damage found, replace agora
1.2. If no physical damage found, reseat agora",Repair 1,1. Replace agora,Debug 1,1. Try new/golden agora,Debug 2,1. Confirm if motherboard replacement is needed
Checking BMC boot readiness and get BMC IP Failed,Switch to agora console failed.,Retest,1. Retest on a different slot,Repair 1,"1. Verify agora and gulp seating
1.1 If physical damage found on gulp/agora, replace it.
1.2 If physical damage found on mobo, send to Repair 2 for mobo replacement.
2. If no physical damage found, reseat agora and gulp",Debug 2,"1. Try golden agora, try golden gulp
2. Isolate for bad dimm
3. Confirm mobo issue",Debug 2,"1. Try golden agora, try golden gulp
2. Isolate for bad dimm
3. Confirm mobo issue",Debug 2,"1. Try golden agora, try golden gulp
2. Isolate for bad dimm
3. Confirm mobo issue"
DIMM infos validation failure,Component DIMM SN: (L)64GB 2RX4 PC5-4800B-RA0-1010-XT(S)802C062415480B4DFA(P)MTC40F2046S1RC48BA1(C)MCCG not found on unit,Repair 1,"1. Search for ""form factor: unknown"" on OTC debug log to identify failing dimm.
2. Visual inspection on DIMM socket, check for socket clips to be fully closed.
3. If dimm socket fully closed, do visual inspection on DIMM.
3.1 If physical damage found, replace DIMM.
3.2. If no physical damage found, swap DIMM# to DIMM##",Debug 1,"1. Verify previous repair action
2. Failure following dimm, replace dimm
3. Failure staying same slot, sent unit to Repair 2 to replace mobo",Debug 2,1. Verify DIMM SN is matching SFC and physical label,Debug 2,"1. Verify DIMM SN is matching SFC and physical label
2. Isolate for bad dimm causing other dimm to be not detected.",Debug 2,"1. Verify DIMM SN is matching SFC and physical label
2. Isolate for bad dimm causing other dimm to be not detected."
Capture Diorite Console and Attach to log Failed,Caught Exception exception.,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Retest,1. Retest,Debug 2,1. Validate with TE/FAE
HB16 PCIe link speed and width check,PCIe device existence on 'PE2.IO0' result measured: 'False'  (limit='True'),Repair 2,"1. Verify PE2 PCIe cable for proper seating, verify PE2.IO0 HB16 card for proper seating.
2. Swap PE2 to PE3 HB16 cards, reseat PE2 PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on HB16 card and PCIe cable
2.1 If physical damage found, replace HB16 card or PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement"
HB16 PCIe link speed and width check,PCIe device existence on 'PE3.IO0' result measured: 'False'  (limit='True'),Repair 2,"1. Verify PE3 PCIe cable for proper seating, verify PE3.IO0 HB16 card for proper seating.
2. Swap PE3 to PE2 HB16 cards, reseat PE3 PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on HB16 card and PCIe cable
2.1 If physical damage found, replace HB16 card or PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement"
HB16 PCIe link speed and width check,PCIe device existence on 'PE4.IO0' result measured: 'False'  (limit='True'),Repair 2,"1. Verify PE4 PCIe cable for proper seating, verify PE4.IO0 HB16 card for proper seating.
2. Swap PE4 to PE5 HB16 cards, reseat PE4 PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on HB16 card and PCIe cable
2.1 If physical damage found, replace HB16 card or PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement"
HB16 PCIe link speed and width check,PCIe device existence on 'PE5.IO0' result measured: 'False'  (limit='True'),Repair 2,"1. Verify PE5 PCIe cable for proper seating, verify PE5.IO0 HB16 card for proper seating.
2. Swap PE5to PE4 HB16 cards, reseat PE5 PCIe cable",Repair 2,"1. Verify previous repair action
2. Failure following HB16 card: Replace HB16 card
3. Failure staying on same slot: Replace PCIe cable",Debug 1,"1. Validate previous repair actions
2. Visual inspection on HB16 card and PCIe cable
2.1 If physical damage found, replace HB16 card or PCIe cable",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement",Debug 2,"1. Validate previous repair actions
2. Visual inspection on PCIe slot on mobo
2.1 If physical damage found on mobo, send to Repair 2 for mobo replacement"
FRU infos validation failure,Component FRU [PCIe cable] SN: 2126700804 244220063 not found on unit,Repair 2,"1. Verify PCIe cable seating.
1.1 If PCIe cable properly seated, replace PCIe cable
1.2 If improper PCIe cable seating, reseat PCIe cable",Debug 1,"1. Verify previous repair action
2. Visual inspection on PCIe cable and PCIe slot on mobo
3. Verify PCIe cable SN is matching SFC and physical label",Debug 2,"1. Verify previous repair action
2. Visual inspection on PCIe cable and PCIe slot on mobo
3. Verify PCIe cable SN is matching SFC and physical label
4. Verify Keyparts on SFC has no duplicated records, if that's the case then report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on PCIe cable and PCIe slot on mobo
3. Verify PCIe cable SN is matching SFC and physical label
4. Verify Keyparts on SFC has no duplicated records, if that's the case then report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on PCIe cable and PCIe slot on mobo
3. Verify PCIe cable SN is matching SFC and physical label
4. Verify Keyparts on SFC has no duplicated records, if that's the case then report to IT"
FRU infos validation failure,Component FRU [Agora] SN: AAHFWI244400929 not found on unit,Repair 1,"1. Visual inspection on agora connector
1.1 If no issues found, reseat agora
1.2 If physical damage found, send to Repair 2 for mobo replacement",Repair 1,1. Replace agora,Debug 1,"1. Verify previous repair action
2. Visual inspection on agora and agora slot on mobo
3. Verify agora SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for agora record, report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on agora and agora slot on mobo
3. Verify agora SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for agora record, report to IT",Debug 2,"1. Verify previous repair action
2. Visual inspection on agora and agora slot on mobo
3. Verify agora SN is matching SFC and physical label
4. Verify Keyparts on SFC has no issues for agora record, report to IT"
FRU infos validation failure,Component FRU [Mobo] SN: ASTFWI244407426 not found on unit,Repair 1,1. Reseat agora,Debug 1,1. Verify mobo SN is matching SFC and physical label,Debug 1,1. Verify mobo SN is matching SFC and physical label,Debug 2,1. Verify mobo SN is matching SFC and physical label,Debug 2,"1. Verify mobo SN is matching SFC and physical label
2. Verify with TE/FAE"
