assembly_gpn,build_id,build_type,fail_run_start_time,fail_run_end_time,fail_run_key,product_name,serial_number,fail_run_status,fail_symptom_label,symptom_message,test_step,rework_run_key,rework_start_time,rework_end_time,category,description,name,station_name,operator_id,existing_component_gpn,existing_component_serial_number,replacement_component_gpn,replacement_component_serial_number,replacement_component_location,next_run_key,next_run_status,next_run_symptom,next_run_start_time,next_run_end_time,secs_after_fail,rn_next,repair_outcome
1154427,000007015481,PROD,2025-10-17 08:28:07.467734 UTC,2025-10-17 08:49:47.703255 UTC,3fe38a4f-0662-4a38-bed0-1069faa03feb,ASTORIA-G-EMC,FWI2542-07721,FAILED,Checking BMC boot readiness and get BMC IP Failed,Switch to agora console failed.,FAT,3fe38a4f-0662-4a38-bed0-1069faa03feb,2025-10-17 21:15:29.862943 UTC,2025-10-17 21:17:11.924259 UTC,RESEAT,Unit Not Power So Reseat Gulp and Agora,FRU MISMATCH; RESEAT-GULP,rew_fwi,zubair.mohamad,1123888-03,IPBFWI254205577,1123888-03,IPBFWI254205577,BIGGULP,c2586ee7-5a92-4d9c-861b-89483b605050,FAILED,Mobo boot failed,2025-10-17 16:17:21.981872 UTC,2025-10-17 16:51:57.595987 UTC,26854,1,SUCCESS
1182051,000007015067,GA,2025-10-08 11:09:31.765522 UTC,2025-10-08 11:22:29.430862 UTC,4898e30a-1fb4-4bc6-a661-f2cee5c08592,ASTORIA-G-EMC,FWI2541-04898,FAILED,Update Foxconn BIOS Failed,"Update BIOS failed.
set the gpio 114 out 1...
Flashing BIOS @/dev/
Flashing the Bios failed in @/dev/
set the gpio 114 out 0...",PRETEST,4898e30a-1fb4-4bc6-a661-f2cee5c08592,2025-10-08 21:08:03.256230 UTC,2025-10-08 21:08:03.256230 UTC,SN_FORCE_MOVE_OUT_REPAIR,Serial Number Force Move Out Repair,SN_FORCE_MOVE_OUT_REPAIR; SN_FORCE_MOVE_OUT_REPAIR,rew_fwi,Lukman.Hakim,,,,,,fa8496a5-fff3-4163-b2f5-38637adff8a0,PASSED,,2025-10-08 16:13:05.333287 UTC,2025-10-08 16:55:55.573308 UTC,17435,1,SUCCESS
1182051,000007015067,GA,2025-10-09 20:15:30.989395 UTC,2025-10-09 20:42:21.803058 UTC,6475c3db-d9af-42dc-a389-afdaece45848,ASTORIA-G-EMC,FWI2541-04866,FAILED,FRU infos validation failure,Component FRU SN: ASTFWI253806266 not found on unit,PRETEST,6475c3db-d9af-42dc-a389-afdaece45848,2025-10-10 02:51:55.386356 UTC,2025-10-10 03:13:31.345957 UTC,REPLACE,Motherboard And CPU scanned in the wrong order at the assembly station. Updating SFC to match CPUs on unit.,SCANNING; REPLACE- MOBO,rew_fwi,zubair.mohamad,1206326-01,ASTFWI253806266,1206326-01,ASTFWI253806851,,a7e808a7-ff90-40e6-adaf-709c5dca242f,PASSED,,2025-10-09 22:13:43.950548 UTC,2025-10-09 22:45:35.926868 UTC,5482,1,SUCCESS
1158445,000007016246,PROD,2025-11-12 00:09:05.272988 UTC,2025-11-12 00:36:35.112921 UTC,7014c24a-1e18-4038-b9d5-0d5a4cdcbe0e,ASTORIA-G-EMC,FWI2546-04537,FAILED,FRU infos validation failure,Component FRU SN: 2409682-1 230664491 not found on unit,FAT,7014c24a-1e18-4038-b9d5-0d5a4cdcbe0e,2025-11-12 12:13:49.297001 UTC,2025-11-12 12:27:58.960708 UTC,REPLACE,"pcie pe3 has a wrong fru info, replace",CONFIGURATION; REPLACE - PCIe X8 Cable,rew_fwi,Antonio.Villanueva,1091708-04,2409682-1 230664491,1091708-04,2409682-1 230877149,,64684b72-2c7e-4292-b1c5-696790cc9b35,PASSED,,2025-11-12 06:30:07.893764 UTC,2025-11-12 10:07:41.828685 UTC,21212,1,SUCCESS
1180383,000007014980,GA,2025-10-06 11:17:57.501998 UTC,2025-10-06 11:46:43.611730 UTC,b7d8f816-acd5-4d6e-a878-e84e963e3e30,ASTORIA-G-EMC,FWI2540-04752,FAILED,DMA stress test Failed,"DMA channel not found in stress result
Expected DMA channel for 'PE2.IO0' not found. where serial number is HABQMB253210202",PRETEST,b7d8f816-acd5-4d6e-a878-e84e963e3e30,2025-10-06 17:50:06.521743 UTC,2025-10-06 18:45:44.629826 UTC,REPLACE,Habanero Swap,FUNCTIONAL; REPLACE - Habanero,rew_fwi,Brandon.Furuglyas,1199151-01,HABQMB253210202,1199151-01,HABQMB252551907,,15612874-c662-4a12-b353-2e1de49fd6a6,FAILED,HB16 PCIe link speed and width check,2025-10-06 13:46:37.618583 UTC,2025-10-06 14:11:18.504473 UTC,7194,1,SUCCESS
1154427,000007015239,PROD,2025-10-13 10:36:49.019080 UTC,2025-10-13 11:07:34.469589 UTC,ef318857-d0c7-4ac9-91bf-b93d73940519,ASTORIA-G-EMC,FWI2541-09792,FAILED,FRU infos validation failure,Component SN: IPBFWI253804504 not found on unit,FAT,ef318857-d0c7-4ac9-91bf-b93d73940519,2025-10-13 16:12:15.454977 UTC,2025-10-13 16:15:19.056507 UTC,REPLACE,replace gulp,CONFIGURATION; REPLACE-GULP,rew_fwi,Antonio.Villanueva,1123888-03,IPBFWI253804504,1123888-03,IPBFWI253705344,,ca10776a-cc54-497d-a34d-d283bccfb12f,PASSED,,2025-10-13 11:16:20.304066 UTC,2025-10-13 13:14:04.755290 UTC,525,1,SUCCESS
1180383,000007015686,GA,2025-10-24 04:20:55.822026 UTC,2025-10-24 04:48:33.217427 UTC,53152efd-d035-4acd-9ed2-782a182c1003,ASTORIA-G-EMC,FWI2543-03783,FAILED,HB16 PCIe link speed and width check,"PCIe device existence on 'PE5.IO0' result measured: 'False'  (limit='True')
",PRETEST,53152efd-d035-4acd-9ed2-782a182c1003,2025-10-24 10:45:31.040985 UTC,2025-10-24 11:32:46.975234 UTC,SWAP,SWAP - Habanerope5 with pe2,FUNCTIONAL; SWAP - Habanero,rew_fwi,ABDUL.ALIZADA,1199151-01,HABQMB252006742,1199151-01,HABQMB252006742,PE2.IO0,da476b20-f4cb-49ba-b41b-5f157cf48249,FAILED,HB16 PCIe link speed and width check,2025-10-24 06:33:45.444054 UTC,2025-10-24 07:01:25.881159 UTC,6312,1,FAILED
1180383,000007014980,GA,2025-10-06 10:51:14.475277 UTC,2025-10-06 11:21:48.227689 UTC,109812eb-b5c3-42ba-8823-adb0e985be1a,ASTORIA-G-EMC,FWI2540-04775,FAILED,HB16 PCIe link speed and width check,"PCIe device link width at /phys/PE5/IO0:device:0000_a1_00_1_11f8_4100_11f8_4100 result measured: 'x4'  (limit='x16')
",PRETEST,109812eb-b5c3-42ba-8823-adb0e985be1a,2025-10-06 19:18:26.328614 UTC,2025-10-06 19:21:13.287845 UTC,REPLACE,"hb16 pe5 damage, replace",PHYSICAL DAMAGE; REPLACE - Habanero,rew_fwi,Antonio.Villanueva,1199151-01,HABQMB253508472,1199151-01,HABQMB252815837,,0d74be1e-7261-4320-8744-fa29b4b5ccc3,PASSED,,2025-10-06 16:09:22.842076 UTC,2025-10-06 16:42:51.728098 UTC,17254,1,SUCCESS
1158445,000007014748,PROD,2025-10-01 11:55:54.076759 UTC,2025-10-01 12:10:02.114895 UTC,39ec66ad-c657-4fa2-a10d-af3be2537486,ASTORIA-G-EMC,FWI2539-11035,FAILED,gSSD location validation failure,"Component gSSD SN KW049419-96402 53204453 location: PE4.IO1, expected location: PE4.IO0",RUNIN,39ec66ad-c657-4fa2-a10d-af3be2537486,2025-10-01 17:20:40.698378 UTC,2025-10-01 17:21:52.311139 UTC,SWAP,swap warthog,CONFIGURATION; SWAP - X8 Warthog Card,rew_fwi,Antonio.Villanueva,1129964-02,KW049419-96402 53204529,1129964-02,KW049419-96402 53204453,PE4.IO0,1da54440-9558-479f-8701-b475634b988b,PASSED,,2025-10-01 12:22:41.812131 UTC,2025-10-01 17:18:40.158088 UTC,759,1,SUCCESS
1158445,000007016246,PROD,2025-11-13 23:09:35.457015 UTC,2025-11-14 00:13:40.506500 UTC,7c8f237c-9001-49b0-b0c9-bb4d187d2a18,ASTORIA-G-EMC,FWI2546-04364,FAILED,no-host-console-output,No console output for 600 seconds.,FAT,7c8f237c-9001-49b0-b0c9-bb4d187d2a18,2025-11-14 09:21:23.958909 UTC,2025-11-14 13:33:51.255319 UTC,RESEAT,heatsink not screwed,IMPROPER SEATING; RESEAT - HEATSINK,rew_fwi,Antonio.Villanueva,1129298,AVH_695452_1129298_253805154,1129298,AVH_695452_1129298_253805154,,9659d94a-263e-418d-a0b2-60e91ad38ff5,PASSED,,2025-11-14 07:35:16.812369 UTC,2025-11-14 09:38:08.270443 UTC,26496,1,SUCCESS
