symptom_label,test_step,cnt,total_cnt,ratio
AC cycle system Failed,FAT,27,54,0.5
AC cycle system Failed,FW update,21,54,0.39
AC cycle system Failed,PRETEST,4,54,0.07
AC cycle system Failed,RUNIN,1,54,0.02
AC cycle system Failed,SDC,1,54,0.02
AMD CPU Power Virus Test Failed,RUNIN,11,20,0.55
AMD CPU Power Virus Test Failed,SDC,9,20,0.45
AMPTTKv30-timeout,SDC,2,2,1.0
ASYNC-STEP-STATUS-RUNNING,FAT,5,9,0.56
ASYNC-STEP-STATUS-RUNNING,PRETEST,4,9,0.44
Aborted by operator,FAT,1,1,1.0
Attach booting logs to OTC failed.,FW update,560,1106,0.51
Attach booting logs to OTC failed.,RUNIN,173,1106,0.16
Attach booting logs to OTC failed.,SDC,140,1106,0.13
Attach booting logs to OTC failed.,FAT,86,1106,0.08
Attach booting logs to OTC failed.,RMA_BFT,64,1106,0.06
Attach booting logs to OTC failed.,L10-ORT-nDRT-THB,36,1106,0.03
Attach booting logs to OTC failed.,PRETEST,21,1106,0.02
Attach booting logs to OTC failed.,BFT,26,1106,0.02
Attach file Failed,SDC,1,1,1.0
Bus Check Test Failed,FAT,35,35,1.0
CPU SN blacklist check Failed,FV,12,12,1.0
CPU SN is not assigned,BFT,47,47,1.0
CPU functional Test Failed,BFT,24,29,0.83
CPU functional Test Failed,FAT,5,29,0.17
CPU info not match,FAT,26,38,0.68
CPU info not match,PRETEST,12,38,0.32
CPU load Test Failed,RUNIN,57,80,0.71
CPU load Test Failed,FAT,12,80,0.15
CPU load Test Failed,SDC,9,80,0.11
CPU load Test Failed,BFT,1,80,0.01
CPU load Test Failed,PST,1,80,0.01
CPU location validation failure,FAT,654,927,0.71
CPU location validation failure,PRETEST,257,927,0.28
CPU location validation failure,RUNIN,9,927,0.01
CPU location validation failure,SDC,6,927,0.01
CPU location validation failure,Diorite FWU,1,927,0.0
CPU serial number failed,BFT,231,231,1.0
Capture Diorite Console and Attach to log Failed,FW update,715,2744,0.26
Capture Diorite Console and Attach to log Failed,SDC,693,2744,0.25
Capture Diorite Console and Attach to log Failed,FAT,552,2744,0.2
Capture Diorite Console and Attach to log Failed,RUNIN,551,2744,0.2
Capture Diorite Console and Attach to log Failed,PRETEST,233,2744,0.08
Caught AttributeError exception.,BFT,1,1,1.0
Caught BlockingIOError exception.,FAT,3,3,1.0
Caught BrokenPipeError exception.,BFT,3,3,1.0
Caught ConnectionRefusedError exception.,RUNIN,4,7,0.57
Caught ConnectionRefusedError exception.,FAT,2,7,0.29
Caught ConnectionRefusedError exception.,BFT,1,7,0.14
Caught ConnectionResetError exception.,BFT,749,754,0.99
Caught ConnectionResetError exception.,RMA_BFT,1,754,0.0
Caught ConnectionResetError exception.,FW update,3,754,0.0
Caught ConnectionResetError exception.,FAT,1,754,0.0
Caught EOFError exception.,BFT,281,335,0.84
Caught EOFError exception.,FW update,41,335,0.12
Caught EOFError exception.,FAT,2,335,0.01
Caught EOFError exception.,RUNIN,2,335,0.01
Caught EOFError exception.,RMA_FBT,4,335,0.01
Caught EOFError exception.,RMA_BFT,5,335,0.01
Caught KeyError exception.,PRETEST,5,5,1.0
Caught OSError exception.,BFT,322,1149,0.28
Caught OSError exception.,FAT,262,1149,0.23
Caught OSError exception.,PRETEST,211,1149,0.18
Caught OSError exception.,RUNIN,197,1149,0.17
Caught OSError exception.,SDC,76,1149,0.07
Caught OSError exception.,FW update,61,1149,0.05
Caught OSError exception.,RMA_BFT,20,1149,0.02
Caught TimeoutError exception.,FW update,7,14,0.5
Caught TimeoutError exception.,RUNIN,3,14,0.21
Caught TimeoutError exception.,FAT,3,14,0.21
Caught TimeoutError exception.,PRETEST,1,14,0.07
Caught booting_fail_eth0_no_up exception.,BFT,2,2,1.0
Caught booting_fail_netboot_nothing exception.,BFT,97,159,0.61
Caught booting_fail_netboot_nothing exception.,FAT,28,159,0.18
Caught booting_fail_netboot_nothing exception.,FW update,22,159,0.14
Caught booting_fail_netboot_nothing exception.,Default Test Step,8,159,0.05
Caught booting_fail_netboot_nothing exception.,RUNIN,4,159,0.03
Caught booting_fail_reboot exception.,BFT,7,9,0.78
Caught booting_fail_reboot exception.,Default Test Step,2,9,0.22
Caught switch_console_fail exception.,BFT,5,5,1.0
Caught timeout exception.,SDC,7,15,0.47
Caught timeout exception.,FAT,4,15,0.27
Caught timeout exception.,RUNIN,3,15,0.2
Caught timeout exception.,BFT,1,15,0.07
Check Agora Mac Address fail !,BFT,536,536,1.0
Check BIOS fail,BFT,130,133,0.98
Check BIOS fail,Default Test Step,3,133,0.02
Check DUT connections Failed,FAT,3575,6150,0.58
Check DUT connections Failed,RUNIN,871,6150,0.14
Check DUT connections Failed,FW update,880,6150,0.14
Check DUT connections Failed,Diorite FWU,354,6150,0.06
Check DUT connections Failed,PRETEST,279,6150,0.05
Check DUT connections Failed,SDC,184,6150,0.03
Check DUT connections Failed,Default Test Step,1,6150,0.0
Check DUT connections Failed,PST,6,6150,0.0
Check Firmware Fail,FAT,534,698,0.77
Check Firmware Fail,PRETEST,113,698,0.16
Check Firmware Fail,BFT,45,698,0.06
Check Firmware Fail,SDC,4,698,0.01
Check Firmware Fail,RUNIN,2,698,0.0
Check IO Module Sensor Fail!,SDC,14,22,0.64
Check IO Module Sensor Fail!,RUNIN,3,22,0.14
Check IO Module Sensor Fail!,PRETEST,3,22,0.14
Check IO Module Sensor Fail!,FAT,1,22,0.05
Check IO Module Sensor Fail!,BFT,1,22,0.05
Check IPMI Chassis fail,BFT,1,2,0.5
Check IPMI Chassis fail,FAT,1,2,0.5
Check IPMI Power Status fail,BFT,8,8,1.0
Check PID,RUNIN,2,2,1.0
Check TDP Failed,FAT,6,6,1.0
Check VR version fail,FW update,152,153,0.99
Check VR version fail,BFT,1,153,0.01
Check WH RZ Sensor Fail!,FAT,118,199,0.59
Check WH RZ Sensor Fail!,PRETEST,38,199,0.19
Check WH RZ Sensor Fail!,SDC,28,199,0.14
Check WH RZ Sensor Fail!,RUNIN,14,199,0.07
Check WH RZ Sensor Fail!,L10-ORT-nDRT-THB,1,199,0.01
Check boot number Failed,PRETEST,688,1561,0.44
Check boot number Failed,FAT,374,1561,0.24
Check boot number Failed,SDC,210,1561,0.13
Check boot number Failed,RUNIN,173,1561,0.11
Check boot number Failed,FW update,116,1561,0.07
Check firmware fail,BFT,456,476,0.96
Check firmware fail,FAT,8,476,0.02
Check firmware fail,FW update,10,476,0.02
Check firmware fail,Default Test Step,1,476,0.0
Check firmware fail,RUNIN,1,476,0.0
Checking BMC boot readiness and get BMC IP Failed,FAT,15612,25497,0.61
Checking BMC boot readiness and get BMC IP Failed,PRETEST,5403,25497,0.21
Checking BMC boot readiness and get BMC IP Failed,BFT,1404,25497,0.06
Checking BMC boot readiness and get BMC IP Failed,FW update,732,25497,0.03
Checking BMC boot readiness and get BMC IP Failed,RMA_BFT,751,25497,0.03
Checking BMC boot readiness and get BMC IP Failed,RUNIN,843,25497,0.03
Checking BMC boot readiness and get BMC IP Failed,SDC,598,25497,0.02
Checking BMC boot readiness and get BMC IP Failed,L10-ORT-DRDT,41,25497,0.0
Checking BMC boot readiness and get BMC IP Failed,L10-ORT-nDRT-PTC,3,25497,0.0
Checking BMC boot readiness and get BMC IP Failed,RMA_FBT,3,25497,0.0
Checking BMC boot readiness and get BMC IP Failed,Diorite FWU,68,25497,0.0
Checking BMC boot readiness and get BMC IP Failed,L10-ORT-nDRT-THB,39,25497,0.0
Checking Williamson cards on unit Failed,BFT,3,3,1.0
Checking switch & BMC FW on usb#0 Williamson card Failed,BFT,1,1,1.0
Collect DUT Info Failed,FAT,12,26,0.46
Collect DUT Info Failed,FW update,5,26,0.19
Collect DUT Info Failed,RUNIN,4,26,0.15
Collect DUT Info Failed,PRETEST,4,26,0.15
Collect DUT Info Failed,SDC,1,26,0.04
Configuration Check (Hardware) Failed,FAT,218,432,0.5
Configuration Check (Hardware) Failed,PRETEST,63,432,0.15
Configuration Check (Hardware) Failed,RUNIN,59,432,0.14
Configuration Check (Hardware) Failed,FW update,46,432,0.11
Configuration Check (Hardware) Failed,SDC,34,432,0.08
Configuration Check (Hardware) Failed,Diorite FWU,12,432,0.03
Configuration Check (Software),SDC,98,176,0.56
Configuration Check (Software),RUNIN,32,176,0.18
Configuration Check (Software),BFT,31,176,0.18
Configuration Check (Software),RMA_BFT,6,176,0.03
Configuration Check (Software),FAT,4,176,0.02
Configuration Check (Software),RMA_FBT,4,176,0.02
Configuration Check (Software),Default Test Step,1,176,0.01
Configuration Check (Software) failed,FAT,3,5,0.6
Configuration Check (Software) failed,PRETEST,2,5,0.4
Create BMC SSH Connection failed,FW update,16,16,1.0
Create Diorite SSH Connection failed.,FAT,6,7,0.86
Create Diorite SSH Connection failed.,SDC,1,7,0.14
Create Host SSH Connection failed,SDC,297,938,0.32
Create Host SSH Connection failed,FAT,272,938,0.29
Create Host SSH Connection failed,PRETEST,161,938,0.17
Create Host SSH Connection failed,RUNIN,111,938,0.12
Create Host SSH Connection failed,FW update,84,938,0.09
Create Host SSH Connection failed,BFT,13,938,0.01
Create Telnet and SSH connection to DUT failed,BFT,12900,15316,0.84
Create Telnet and SSH connection to DUT failed,RMA_BFT,1267,15316,0.08
Create Telnet and SSH connection to DUT failed,FAT,430,15316,0.03
Create Telnet and SSH connection to DUT failed,FW update,246,15316,0.02
Create Telnet and SSH connection to DUT failed,PRETEST,270,15316,0.02
Create Telnet and SSH connection to DUT failed,RUNIN,149,15316,0.01
Create Telnet and SSH connection to DUT failed,Default Test Step,1,15316,0.0
Create Telnet and SSH connection to DUT failed,SDC,30,15316,0.0
Create Telnet and SSH connection to DUT failed,RMA_FBT,23,15316,0.0
Create folder on diag server Failed,FAT,34,34,1.0
DIMM infos validation failure,FAT,10603,16087,0.66
DIMM infos validation failure,PRETEST,4660,16087,0.29
DIMM infos validation failure,RUNIN,361,16087,0.02
DIMM infos validation failure,Diorite FWU,373,16087,0.02
DIMM infos validation failure,FV,1,16087,0.0
DIMM infos validation failure,SDC,77,16087,0.0
DIMM infos validation failure,FW update,12,16087,0.0
DIMM location validation failure,FAT,534,805,0.66
DIMM location validation failure,PRETEST,242,805,0.3
DIMM location validation failure,RUNIN,16,805,0.02
DIMM location validation failure,Diorite FWU,6,805,0.01
DIMM location validation failure,SDC,7,805,0.01
DIMM quantity validation failure,FAT,20,24,0.83
DIMM quantity validation failure,RUNIN,4,24,0.17
DMA stress test Failed,PRETEST,1173,1173,1.0
DUT MAC is invalid,BFT,9,9,1.0
DUT SN is invalid,BFT,1,1,1.0
DUT is not for L10 System Test Plan,FAT,37,37,1.0
DUT is not for Runin Test Plan,RUNIN,3,3,1.0
DUT is not for SDC Test Plan,SDC,2,2,1.0
DUT is not for test,PRETEST,3975,5120,0.78
DUT is not for test,FAT,724,5120,0.14
DUT is not for test,RUNIN,144,5120,0.03
DUT is not for test,FW update,150,5120,0.03
DUT is not for test,Diorite FWU,62,5120,0.01
DUT is not for test,SDC,60,5120,0.01
DUT is not for test,FV,2,5120,0.0
DUT is not for test,PST,3,5120,0.0
Diorite Fan fail,PRETEST,1,1,1.0
Diorite Firmware Update on all slots Failed,PRETEST,101,120,0.84
Diorite Firmware Update on all slots Failed,FAT,19,120,0.16
Diorite Firmware Update via htool Failed,Diorite FWU,3,3,1.0
Diorite PCIe link speed and width check,PRETEST,2627,2627,1.0
Diorite PCIe link speed and width check Failed,PRETEST,4,4,1.0
Diorite Part Number,FAT,235,235,1.0
Diorite SSH Connection Failed,FAT,18054,25416,0.71
Diorite SSH Connection Failed,PRETEST,5062,25416,0.2
Diorite SSH Connection Failed,RUNIN,1307,25416,0.05
Diorite SSH Connection Failed,SDC,521,25416,0.02
Diorite SSH Connection Failed,FW update,419,25416,0.02
Diorite SSH Connection Failed,L10-ORT-nDRT-THB,7,25416,0.0
Diorite SSH Connection Failed,L10-ORT-DRDT,8,25416,0.0
Diorite SSH Connection Failed,L10-ORT-nDRT-PTC,38,25416,0.0
Diorite Sanity Check - FRU Failed,FAT,31,102,0.3
Diorite Sanity Check - FRU Failed,RUNIN,22,102,0.22
Diorite Sanity Check - FRU Failed,FW update,19,102,0.19
Diorite Sanity Check - FRU Failed,PRETEST,18,102,0.18
Diorite Sanity Check - FRU Failed,SDC,12,102,0.12
Diorite Sanity Check - mac address-table on switch side Failed,FAT,40,70,0.57
Diorite Sanity Check - mac address-table on switch side Failed,PRETEST,23,70,0.33
Diorite Sanity Check - mac address-table on switch side Failed,RUNIN,6,70,0.09
Diorite Sanity Check - mac address-table on switch side Failed,FW update,1,70,0.01
Diorite Sanity Check Failed,FAT,3147,5609,0.56
Diorite Sanity Check Failed,PRETEST,2071,5609,0.37
Diorite Sanity Check Failed,RUNIN,193,5609,0.03
Diorite Sanity Check Failed,SDC,95,5609,0.02
Diorite Sanity Check Failed,FW update,98,5609,0.02
Diorite Sanity Check Failed,Diorite FWU,5,5609,0.0
Diorite Serial Number,FAT,1698,1698,1.0
Diorite console log can't be generated,RUNIN,2,8,0.25
Diorite console log can't be generated,FAT,2,8,0.25
Diorite console log can't be generated,SDC,2,8,0.25
Diorite console log can't be generated,FW update,2,8,0.25
Diorite firmware check on usb_loc '1-1.1' Failed,FAT,79,118,0.67
Diorite firmware check on usb_loc '1-1.1' Failed,PRETEST,37,118,0.31
Diorite firmware check on usb_loc '1-1.1' Failed,L10-ORT-nDRT-THB,1,118,0.01
Diorite firmware check on usb_loc '1-1.1' Failed,Diorite FWU,1,118,0.01
Diorite firmware check on usb_loc '1-1.2' Failed,PRETEST,35,53,0.66
Diorite firmware check on usb_loc '1-1.2' Failed,FAT,18,53,0.34
Diorite firmware check on usb_loc '1-1.7.1' Failed,FAT,23,38,0.61
Diorite firmware check on usb_loc '1-1.7.1' Failed,PRETEST,14,38,0.37
Diorite firmware check on usb_loc '1-1.7.1' Failed,Diorite FWU,1,38,0.03
Diorite firmware check on usb_loc '1-1.7.2' Failed,FAT,67,109,0.61
Diorite firmware check on usb_loc '1-1.7.2' Failed,PRETEST,41,109,0.38
Diorite firmware check on usb_loc '1-1.7.2' Failed,Diorite FWU,1,109,0.01
Diorite firmware update on usb_loc '1-1.1' Failed,FAT,15,26,0.58
Diorite firmware update on usb_loc '1-1.1' Failed,PRETEST,11,26,0.42
Diorite firmware update on usb_loc '1-1.7.2' Failed,PRETEST,5,5,1.0
Diorite location validation failure,PRETEST,3327,3775,0.88
Diorite location validation failure,FAT,259,3775,0.07
Diorite location validation failure,RUNIN,143,3775,0.04
Diorite location validation failure,SDC,45,3775,0.01
Diorite location validation failure,Diorite FWU,1,3775,0.0
Dump lpcsnoop service log after BIOS update Failed,FW update,1,1,1.0
Dump lpcsnoop service log after BMC update Failed,FW update,45,45,1.0
Dump lpcsnoop service log after reboot Failed,FAT,20,38,0.53
Dump lpcsnoop service log after reboot Failed,RUNIN,18,38,0.47
Dump lpcsnoop service log at initial boot Failed,BFT,97,379,0.26
Dump lpcsnoop service log at initial boot Failed,FAT,95,379,0.25
Dump lpcsnoop service log at initial boot Failed,PRETEST,77,379,0.2
Dump lpcsnoop service log at initial boot Failed,SDC,36,379,0.09
Dump lpcsnoop service log at initial boot Failed,RMA_BFT,31,379,0.08
Dump lpcsnoop service log at initial boot Failed,RUNIN,29,379,0.08
Dump lpcsnoop service log at initial boot Failed,FW update,13,379,0.03
Dump lpcsnoop service log at initial boot Failed,RMA_FBT,1,379,0.0
Dump lpcsnoop service log at loop #1 Failed,RUNIN,12,12,1.0
Dump lpcsnoop service log at loop #4 Failed,L10-ORT-nDRT-THB,9,9,1.0
Establish BMC connection failed,BFT,134,135,0.99
Establish BMC connection failed,RMA_BFT,1,135,0.01
Exception,BFT,31,36,0.86
Exception,RUNIN,5,36,0.14
Exception.,Default Test Step,6,10,0.6
Exception.,BFT,4,10,0.4
FRU infos validation failure,PRETEST,4611,8602,0.54
FRU infos validation failure,FAT,3626,8602,0.42
FRU infos validation failure,RUNIN,218,8602,0.03
FRU infos validation failure,SDC,116,8602,0.01
FRU infos validation failure,Diorite FWU,17,8602,0.0
FRU infos validation failure,FW update,14,8602,0.0
FRU quantity validation failure,FAT,40,61,0.66
FRU quantity validation failure,PRETEST,11,61,0.18
FRU quantity validation failure,RUNIN,6,61,0.1
FRU quantity validation failure,SDC,4,61,0.07
FRU validation,BFT,135,172,0.78
FRU validation,RMA_BFT,36,172,0.21
FRU validation,RMA_FBT,1,172,0.01
FRU validation failed,BFT,2,2,1.0
Fail to check diorite 'PDFCTH224610556' FAN duty_cycle,FAT,1,1,1.0
Fail to check diorite 'PDFCTH241102259' FAN duty_cycle,PRETEST,1,1,1.0
Fail to check diorite 'PDFCTH242117538' FAN duty_cycle,PRETEST,1,1,1.0
Fail to check diorite 'PDFCTH242202602' FAN duty_cycle,PRETEST,1,1,1.0
Fail to check diorite 'PDFCTH242608990' FAN duty_cycle,FAT,2,2,1.0
Fail to check diorite 'PDFCTH243000296' FAN duty_cycle,PRETEST,2,2,1.0
Fail to check diorite 'PDFCTH243311644' FAN duty_cycle,FAT,1,1,1.0
Fail to check diorite 'PDFCTH243318343' FAN duty_cycle,FAT,1,1,1.0
Fail to check diorite 'PDFCTH243603873' FAN duty_cycle,FAT,1,1,1.0
